"strap","Parcelno"
"M2001032","131509092001"
"M2001035","146318208001"
"M2001036","146318208001"
"M2001037","157508200003"
"M2001039","146321300001"
"M2001040","157721000024"
"M2001041","157502400007"
"M2001042","131509092001"
"M2001044","157502303001"
"M2001045","157502400007"
"M2001046","157502400007"
"M2001047","146321300001"
"M2001048","146322300014"
"M2001049","157502400007"
"M2001050","146320400007"
"M2001051","146322300014"
"M2001052","157508200003"
"M2001053","146318208001"
"M2001058","146322300014"
"M2001060","157502400007"
"M2001068","157511100019"
"M2008002","146320400007"
"M2008003","157502400007"
"M2008004","157511100019"
"M2008006","157502303002"
"M2008007","157502303002"
"M2008008","131515101001"
"M2008009","131515101001"
"M2008011","131515101001"
"M2008012","146318208001"
"M2008013","131515101001"
"M2008014","131515101001"
"M2008015","131515101001"
"M2008016","131515101001"
"M2008017","131515101001"
"M2008018","131515101001"
"M2008019","131515101001"
"M2008020","131515101001"
"M2008021","131515101001"
"M2008022","131515101001"
"M2008023","131515101001"
"M2008024","131515101001"
"M2008025","131515101001"
"M2008026","146318208001"
"M2008028","146321300001"
"M2008029","146334100061"
"M2008030","146334100061"
"M2008033","131509092001"
"M2008034","146515011003"
"M2008036","131509092001"
"M2008037","157502400007"
"M2008038","157502400007"
"M2008040","146321300001"
"M2008041","146318208001"
"M2008042","146322300014"
"M2008043","146318208001"
"M2008044","146321300001"
"M2008047","146318208001"
"M2008048","157502105002"
"M2008049","146329241001"
"M2008050","131515101001"
"M2008051","131515101001"
"M2008052","131515101001"
"M2008054","131515101001"
"M2008056","131515101001"
"M2008057","131515101001"
"M2008059","131515101001"
"M2008060","131515101001"
"M2009001","157502400007"
"M2009002","146321300001"
"M2009003","146321300001"
"M2009004","157502303001"
"M2009005","131515101001"
"M2009006","131515101001"
"M2009007","157716200005"
"M2009008","131515101001"
"M2009009","131515101001"
"M2009010","157511100019"
"M2009011","157511100019"
"M2009012","157511100019"
"M2009013","157511100019"
"M2009014","131515101001"
"M2009015","131515101001"
"M2009016","157502303001"
"M2009017","157502400007"
"M2009019","120321000008"
"M2009020","146318208001"
"M2009021","146318208001"
"M2009022","146318208001"
"M2009023","146318208001"
"M2009024","146318208001"
"M2009025","146320400007"
"M2009026","157502303001"
"M2009027","146322300014"
"M2009028","131509092001"
"M2010001","146318208001"
"M2010002","146318208001"
"M2010004","146329241001"
"M2010006","157502400007"
"M2010007","146329241002"
"M2010008","131515101001"
"M2010009","146520000005"
"M2010010","146318113001"
"M2010011","146318208001"
"M2010012","146318208001"
"M2010013","157508200003"
"M2010014","146318113001"
"M2010015","146318208001"
"M2010016","146321300001"
"M2010017","146329241002"
"M2010018","157502303002"
"M2010019","131515101001"
"M2010022","131515101001"
"M2010023","157502400007"
"M2010024","131509092001"
"M2010025","146318208001"
"M2010026","146318208001"
"M2010027","146329241002"
"M2010028","131515101001"
"M2010029","146318208001"
"M2010030","146321300001"
"M2010031","131515101001"
"M2010033","157502303001"
"M2010034","146318208001"
"M2010035","157502400007"
"M2010036","157502400007"
"M2010037","157502400007"
"M2010038","157502400007"
"M2010039","146318113001"
"M2010040","146318208001"
"M2010041","131515101001"
"M2011001","146318208001"
"M2011002","146318208001"
"M2011003","146318208001"
"M2011004","146318208001"
"M2011005","120534238001"
"M2011006","157502400007"
"M2011007","146318208001"
"M2011008","157502400007"
"M2011010","131509092001"
"M2011011","131515101001"
"M2011012","157502303001"
"M2011013","146321300001"
"M2011014","131509092001"
"M2011015","146318208001"
"M2011016","157502303001"
"M2011017","146318208001"
"M2011018","157502400007"
"M2011019","157502400007"
"M2011020","146329241001"
"M2011021","146318208001"
"M2011023","157502400007"
"M2011024","157511100019"
"M2011026","157502303001"
"M2012002","146318208001"
"M2012003","158313208002"
"M2012004","120534238001"
"M2012006","120534428001"
"M2012007","146318208001"
"M2012008","146318208001"
"M2012009","146318208001"
"M2012010","120534238001"
"M2012011","157508200003"
"M2012012","131515101001"
"M2012013","157716200005"
"M2012014","146318208001"
"M2012015","146321300001"
"M2012016","146321300001"
"M2012017","131509092001"
"M2012018","131509092001"
"M2012019","146318208001"
"M2012020","146318208001"
"M2012021","146321300001"
"M2012022","146321300001"
"M2012023","146318208001"
"M2012024","146318208001"
"M2012025","157502303002"
"M2012026","157502303001"
"M2012027","157502303001"
"M2012028","146318208001"
"M2012029","146318208001"
"M2012030","131515101001"
"M2012033","146322300014"
"M2012034","157502303001"
"M2012036","131515101001"
"M2012037","157502303001"
"M2012038","146321300001"
"M2012039","146318208001"
"M2012041","146323000017"
"M2013001","146112003001"
"M2013002","131509092001"
"M2013003","131515101001"
"M2013004","146322300014"
"M2013005","131509092001"
"M2013006","131515101001"
"M2013007","157502303001"
"M2013008","157502303001"
"M2013009","157502303001"
"M2013010","157502303001"
"M2013011","131515101001"
"M2013012","157502241002"
"M2013013","157502104008"
"M2013014","157502228002"
"M2013015","146318208001"
"M2013016","157502303001"
"M2013018","157502303001"
"M2013019","146329241001"
"M2013020","157502303001"
"M2013021","131509092001"
"M2013022","157502303001"
"M2013024","157502241005"
"M2013025","157502106003"
"M2013026","157502104003"
"M2013028","146318208001"
"M2013029","157502303001"
"M2013030","157502303001"
"M2013031","157502303001"
"M2013032","157502303001"
"M2013033","157502303001"
"M2013034","157502303001"
"M2013035","157502303001"
"M2013036","157502280004"
"M2013037","157502303001"
"M2013038","157502303001"
"M2013039","157502303001"
"M2013040","157502303001"
"M2013041","157502303001"
"M2013042","157502303001"
"M2013043","131515101001"
"M2013044","146318208001"
"M2013045","131515101001"
"M2013046","146321300001"
"M2013048","146318208001"
"M2013050","157721000024"
"M2013051","120534238001"
"M2013052","131515101001"
"M2013053","131515101001"
"M2013054","120534238001"
"M2013055","146318113001"
"M2013056","146318113001"
"M2013057","146321300001"
"M2013058","157502303001"
"M2013059","157502303001"
"M2013060","157502303001"
"M2013062","146318208001"
"M2013064","157502400007"
"M2013065","157502400007"
"M2013066","157716200005"
"M2013067","157502400007"
"M2013068","157502303001"
"M2013069","157502303001"
"M2013070","157502303001"
"M2013071","157502303002"
"M2013073","146318208001"
"M2013074","146318113001"
"M2013075","157502303001"
"M2013076","157502303001"
"M2014001","157502303001"
"M2014002","157502241004"
"M2014003","157502280004"
"M2014004","131509092001"
"M2014005","157502303001"
"M2014006","146318113001"
"M2014007","146318113001"
"M2014008","146318113001"
"M2014009","146318113001"
"M2014010","146318113001"
"M2014011","157502303001"
"M2014012","131509092001"
"M2014013","158300301001"
"M2014014","120320100018"
"M2014015","146329241002"
"M2014016","157502303001"
"M2014017","157502280004"
"M2014018","146321300001"
"M2014019","157511100019"
"M2014020","146322300014"
"M2014021","146318208001"
"M2014022","146318113001"
"M2014023","146321300001"
"M2014024","146322300014"
"M2014025","157502303001"
"M2014026","146318208001"
"M2014028","146318113001"
"M2014029","146329241001"
"M2014030","146318113001"
"M2014031","157511100019"
"M2014033","157502303001"
"M2014034","157511100019"
"M2015001","146318208001"
"M2015003","146321300001"
"M2015004","157502303001"
"M2015005","157511100019"
"M2015007","146318208001"
"M2015008","146318208001"
"M2015009","146318208001"
"M2015010","146318208001"
"M2015011","146318208001"
"M2015012","146318208001"
"M2015013","146318208001"
"M2015014","146318208001"
"M2015015","146318208001"
"M2015016","146318113001"
"M2015017","146318113001"
"M2015018","146318208001"
"M2015019","157502303002"
"M2015020","120534238001"
"M2015023","157502303002"
"M2015024","157502303001"
"M2015025","146321300001"
"M2015026","146321300001"
"M2015027","146321300001"
"M2015028","120534238001"
"M2015029","157502303002"
"M2015030","146318113001"
"M2015031","146321300001"
"M2015032","120534238001"
"M2015033","131515101001"
"M2015034","120534238001"
"M2015035","131509092001"
"M2015036","131509092001"
"M2015037","131509092001"
"M2015038","131505110001"
"M2015039","131509092001"
"M2015040","131509092001"
"M2015041","131509092001"
"M2015042","131509092001"
"M2015043","131509092001"
"M2015044","131509092001"
"M2015045","146318113001"
"M2015046","146318113001"
"M2015047","146318113001"
"M2015048","146318113001"
"M2015049","146318113001"
"M2015050","146318113001"
"M2015051","146318113001"
"M2015052","146318113001"
"M2015054","146329241001"
"M2015055","146329241002"
"M2015056","146321300001"
"M2015057","146321300001"
"M2015058","146321300001"
"M2015059","146321300001"
"M2015060","146318208001"
"M2015061","146318113001"
"M2015062","146318113001"
"M2015063","146322300014"
"M2015064","146329241002"
"M2015065","146320400007"
"M2015066","157502303002"
"M2015067","120534238001"
"M2015068","157721000024"
"M2015069","146318113001"
"M2015070","146318113001"
"M2015071","131509092001"
"M2015072","131509092001"
"M2015073","131509092001"
"M2015074","131509092001"
"M2015075","146320400007"
"M2015076","157502303002"
"M2015077","157502303001"
"M2015078","146329241001"
"M2015079","146318208001"
"M2015080","146318208001"
"M2015081","146321300001"
"M2015082","131509092001"
"M2015083","131509092001"
"M2015084","131509092001"
"M2015085","131509092001"
"M2015086","131509092001"
"M2015087","131509092001"
"M2015088","157502280004"
"M2015089","157502303002"
"M2015090","146321300001"
"M2015091","146318113001"
"M2015092","146329241002"
"M2015093","146318113001"
"M2015096","146321300001"
"M2015097","131509092001"
"M2015098","157502400007"
"M2015099","157502303001"
"M2015100","157502303001"
"M2015102","157502303001"
"M2016001","146321300001"
"M2016002","146318113001"
"M2016003","131509092001"
"M2016004","131509092001"
"M2016005","120534238001"
"M2016006","157502300020"
"M2016007","146321300001"
"M2016008","146318208001"
"M2016010","146318113001"
"M2016011","146318113001"
"M2016012","146318208001"
"M2016013","146322300014"
"M2016014","146318113001"
"M2016015","146318113001"
"M2016016","146318113001"
"M2016017","146318113001"
"M2016018","146318208001"
"M2016019","146318113001"
"M2016020","146318113001"
"M2016021","146318113001"
"M2016022","146318113001"
"M2016023","131509092001"
"M2016024","146318113001"
"M2016025","146318113001"
"M2016026","146318208001"
"M2016027","146318113001"
"M2016028","146318113001"
"M2016030","146318113001"
"M2016031","120534205001"
"M2016032","146321300001"
"M2016033","157502303002"
"M2016034","146329241001"
"M2016035","146318113001"
"M2016036","146318113001"
"M2016037","157721000024"
"M2016038","157508200003"
"M2016039","120534238001"
"M2016040","157508200003"
"M2016041","146320400007"
"M2016042","146318113001"
"M2016043","146318113001"
"M2016044","146318113001"
"M2016045","146318113001"
"M2016046","146318113001"
"M2016047","146318113001"
"M2016048","146318113001"
"M2016049","146318113001"
"M2016050","146318113001"
"M2016051","146318113001"
"M2016052","146329241002"
"M2016053","146321300001"
"M2016054","146322300014"
"M2016055","146321300001"
"M2016056","146318113001"
"M2016057","120534205001"
"M2016058","146329241001"
"M2016059","146329241001"
"M2016060","157716200005"
"M2016061","146318113001"
"M2016062","146318113001"
"M2016063","157502303001"
"M2016064","131509092001"
"M2016065","131509092001"
"M2016066","146318113001"
"M2016067","146318113001"
"M2016068","146318113001"
"M2016069","146318113001"
"M2016070","146318113001"
"M2016071","146318113001"
"M2016072","146318113001"
"M2016073","146318113001"
"M2016074","146318113001"
"M2016075","146318113001"
"M2016076","146318113001"
"M2016077","131509092001"
"M2016078","146329241001"
"M2016079","131509092001"
"M2016080","120534238001"
"M2016081","146318113001"
"M2016082","146318113001"
"M2016083","146318208001"
"M2016084","146321300001"
"M2016085","120534238001"
"M2016086","131509092001"
"M2016088","146318113001"
"M2016089","146329241002"
"M2016090","131509092001"
"M2016091","131509092001"
"M2016092","146329241001"
"M2016093","146329241002"
"M2016094","146329241001"
"M2016095","157502303002"
"M2016096","146329241001"
"M2016097","157502400007"
"M2016098","157502400007"
"M2016099","157502400007"
"M2016100","157511100019"
"M2017001","146318208001"
"M2017002","146318113001"
"M2017003","146318113001"
"M2017004","146329241001"
"M2017005","146318113001"
"M2017006","146318208001"
"M2017007","146318208001"
"M2017008","146318208001"
"M2017009","146318208001"
"M2017010","146318208001"
"M2017011","146318208001"
"M2017012","146318113001"
"M2017013","146318113001"
"M2017014","146318208001"
"M2017015","146318113001"
"M2017016","146329241002"
"M2017017","146318113001"
"M2017018","146318113001"
"M2017019","146329241001"
"M2017020","157511100019"
"M2017021","146329241001"
"M2017022","120534238001"
"M2017023","157716200005"
"M2017024","146534115002"
"M2017025","146318113001"
"M2017026","120534238001"
"M2017027","146318208001"
"M2017028","146318113001"
"M2017029","146318113001"
"M2017030","146318208001"
"M2017031","146318208001"
"M2017032","146318208001"
"M2017033","157502280004"
"M2017034","146321300001"
"M2017035","120534238001"
"M2017036","146321300001"
"M2017037","146321300001"
"M2017038","157502400007"
"M2017039","157502303002"
"M2017040","157502303002"
"M2017041","146321300001"
"M2017043","120534238001"
"M2017044","120534238001"
"M2017045","146318208001"
"M2017046","146322300014"
"M2017047","146322300014"
"M2017048","146329241002"
"M2017049","120534205001"
"M2017050","146321300001"
"M2017052","157716200005"
"M2017053","146322300014"
"M2017054","146321300001"
"M2017056","146329241001"
"M2017057","120318110003"
"M2017058","120318110003"
"M2017059","146329241001"
"M2017060","146329241001"
"M2017061","146329241001"
"M2017062","146318208001"
"M2017063","146318208001"
"M2017066","146318208001"
"M2017067","146318208001"
"M2017068","146318113001"
"M2017069","146318113001"
"M2017070","146318113001"
"M2017071","146318113001"
"M2017072","146318113001"
"M2017073","157502280004"
"M2017074","157508200003"
"M2017075","157508200003"
"M2017076","157508200003"
"M2017077","157502303001"
"M2017078","146321300001"
"M2017079","146329241001"
"M2017080","120534238001"
"M2017081","157508200003"
"M2017082","146318113001"
"M2017085","157502400007"
"M2018002","146318113001"
"M2018003","157502303001"
"M2018004","146329241001"
"M2018005","146329241001"
"M2018006","146322300014"
"M2018007","157502303002"
"M2018008","146329241001"
"M2018009","120534127002"
"M2018010","120534238001"
"M2018011","146321300001"
"M2018012","157502303001"
"M2018013","146318208001"
"M2018014","146321300001"
"M2018015","146322300014"
"M2018016","157721000024"
"M2018017","157502303001"
"M2018018","120534238001"
"M2018019","120534238001"
"M2018020","120534238001"
"M2018021","157502303001"
"M2018022","131509092001"
"M2018023","131509092001"
"M2018024","146318208001"
"M2018025","157502303001"
"M2018026","146318113001"
"M2018027","157502303002"
"M2018028","157502303002"
"M2018029","146321300001"
"M2018030","120534238001"
"M2018031","146321300001"
"M2018032","131509092001"
"M2018033","131509092001"
"M2018034","131509092001"
"M2019001","146318113001"
"M2019002","146321300001"
"M2019003","146321300001"
"M2019005","146321300001"
"M2019006","120534238001"
"M2019009","146320400007"
"M2019010","146329241001"
"M2019011","146320400007"
"M2019013","146321300001"
"M2019014","157502303001"
"M2019016","158300301001"
"M2019017","158300301001"
"M2019018","131510065001"
"M2019020","131509092001"
"M2019021","146321300001"
"M2019022","157502303002"
"M2019025","120534238001"
"M2019026","146322300014"
"M2019029","157502303001"
"M2019030","120534238001"
"M2019031","120534203001"
"M2019032","157502303001"
"M2019033","146318208001"
"M2019034","146318113001"
"M2019035","146318113001"
"M2019036","146321300001"
"M2019037","146329241001"
"M2019038","146320400007"
"M2020003","146329241002"
"M2020004","146321300001"
"M2020005","146321300001"
"M2020006","146321300001"
"M2020007","146322300014"
"M2020008","157502400007"
"M2020009","146321300001"
"M2020010","146321300001"
"M2020011","146320400007"
"M2020012","120534238001"
"M2020013","146322300014"
"M2020014","146322300014"
"M2020015","157508200003"
"M2020016","146321300001"
"M2020017","146321300001"
"M2020018","146321300001"
"M2020019","120534428001"
"M2020020","157502303002"
"M2020021","146318113001"
"M2020022","146318208001"
"M2020023","146329241001"
"M2021001","146321300001"
"M2021002","157502303001"
"M2021003","131509092001"
"M2021004","157502303001"
"M2021005","120534238001"
"M2021006","146322300014"
"M2021007","146321300001"
"M2021008","146321300001"
"M2021009","157716200005"
"M2021010","157502303001"
"M2021011","120534238001"
"M2021012","157502303002"
"M2021013","146113149001"
"M2021014","120534203001"
"M2021015","120113000015"
"M8000103","157502303001"
"M8000105","146321300001"
"M8000106","146322300014"
"M8000116","157502400007"
"M8000122","157502400007"
"M8000125","157502303001"
"M8000127","157511100019"
"M8000128","157511100019"
"M8000136","157511100019"
"M8000138","157502400007"
"M8000139","146318208001"
"M8000140","146318113001"
"M8000141","146318113001"
"M8000145","146322300014"
"M8000146","146318208001"
"M8000147","131509092001"
"M8000148","131515101001"
"M8000149","157508200003"
"M8000154","157925421001"
"M8000155","120318404004"
"M8000164","146321300001"
"M8000168","157502303001"
"M8000171","146329241002"
"M8000172","120534203001"
"M8000174","157502400007"
"M8000175","157502300020"
"M8000180","157721000024"
"M8000181","146318208001"
"M8000191","146322300014"
"M8000193","157502400007"
"M8000195","146318208001"
"M8000198","146318113001"
"M8000200","146329241001"
"M8000201","146321300001"
"M8000202","157502303001"
"M8000205","146318208001"
"M8000208","157511100019"
"M8000209","131515101001"
"M8000211","120534203001"
"M8000216","157502300020"
"M8000222","157502300020"
"M8000223","120534205001"
"M8000226","157502303001"
"M8000228","146320400007"
"M8000229","157716200005"
"M8000230","120318103004"
"M8000232","120534203001"
"M8000240","146320400007"
"M8000245","157502303002"
"M8000246","157502280004"
"M8000249","131515101001"
"M8000252","146320400007"
"M8000258","146321300001"
"M8000259","131509092001"
"M8000263","146322300014"
"M8000264","157511100019"
"M8000268","146318208001"
"M8000272","146322300014"
"M8000274","157502303001"
"M8000276","146321300001"
"M8100105","146321300001"
"M8100107","146321300001"
"M8100108","146321300001"
"M8100110","157502400007"
"M8100111","146318208001"
"M8100114","157502400007"
"M8100117","146321300001"
"M8100119","146321300001"
"M8100120","146318113001"
"M8100121","146322300014"
"M8100124","146318113001"
"M8100126","146321300001"
"M8100130","146318113001"
"M8100131","146321300001"
"M8100133","157508200003"
"M8100136","146321300001"
"M8100137","131515101001"
"M8100140","120534238001"
"M8100143","157502303001"
"M8100146","146321300001"
"M8100149","146321300001"
"M8100162","157502400007"
"M8100176","157502303001"
"M8100178","146322300014"
"M8100181","131515101001"
"M8100184","146318208001"
"M8100186","157716200005"
"M8100187","157511100019"
"M8100191","131503325006"
"M8100199","146318113001"
"M8100200","146321300001"
"M8100202","131515101001"
"M8100204","131515101001"
"M8100206","146318113001"
"M8100207","146318113001"
"M8100223","146320400007"
"M8100227","146318208001"
"M8100231","157508200003"
"M8100242","146321300001"
"M8100243","146321300001"
"M8100246","157716200005"
"M8100250","131515101001"
"M8100271","157502303001"
"M8100273","120534203001"
"M8100274","157502303001"
"M8100276","131515101001"
"M8100277","131515101001"
"M8100282","131515101001"
"M8100285","146321300001"
"M8100287","131515101001"
"M8100291","157716200005"
"M8100292","146320400007"
"M8100301","131515101001"
"M8200102","157502303002"
"M8200103","157502303001"
"M8200108","146322300014"
"M8200113","146321300001"
"M8200116","157502303001"
"M8200118","146318113001"
"M8200119","146318113001"
"M8200220","131726000004"
"M8200224","146321300001"
"M8200226","146320400007"
"M8200227","120534205001"
"M8200229","120534428001"
"M8200233","157502303001"
"M8200239","131515101001"
"M8200241","157502400007"
"M8200243","146321300001"
"M8200246","157502400007"
"M8200251","157502400007"
"M8200252","157511100019"
"M8200253","146321300001"
"M8200256","157511100019"
"M8200257","158105000006"
"M8200259","146113149001"
"M8200260","146318113001"
"M8200261","146320400007"
"M8200262","146318208001"
"M8200267","146321300001"
"M8200268","157502400007"
"M8200275","157502303001"
"M8200283","146320400007"
"M8200291","120321000008"
"M8200292","146321300001"
"M8200294","146321300001"
"M8200295","146321300001"
"M8200303","157502303001"
"M8200307","157502400007"
"M8200308","157502400007"
"M8200309","157502400007"
"M8200313","157502400007"
"M8200316","157502400007"
"M8200319","146318113001"
"M8200324","146318208001"
"M8200328","146318208001"
"M8200329","146318208001"
"M8200330","146113149001"
"M8200332","146318113001"
"M8200333","146318208001"
"M8200334","146318208001"
"M8200337","146318113001"
"M8200445","146318208001"
"M8200446","146318208001"
"M8200449","132300000037"
"M8200500","157502400007"
"M8200502","146318208001"
"M8200504","131515101001"
"M8200509","146321300001"
"M8200999","120534203001"
"M8300107","146318208001"
"M8300108","146318113001"
"M8300112","157721000024"
"M8300116","157502400007"
"M8300125","131509092001"
"M8300127","157502200037"
"M8300128","157502200037"
"M8300129","131503325006"
"M8300134","157502400007"
"M8300136","146322300014"
"M8300139","157502303001"
"M8300140","157502200037"
"M8300141","120534203001"
"M8300146","157502280004"
"M8300154","146321300001"
"M8300211","146514000012"
"M8300213","157502400007"
"M8300250","157511100019"
"M8300254","157502303001"
"M8300255","146322300014"
"M8300256","146318208001"
"M8300258","146318208001"
"M8300261","146318208001"
"M8300262","146318208001"
"M8300264","146318208001"
"M8300265","146318113001"
"M8300266","146321300001"
"M8300267","146321300001"
"M8300273","157502400007"
"M8300274","157502400007"
"M8300280","120534428001"
"M8300281","120534127002"
"M8300284","157502303001"
"M8300285","157502303001"
"M8300288","131510000032"
"M8300293","146318208001"
"M8300294","146321300001"
"M8300295","146318208001"
"M8300296","146318208001"
"M8300299","146318113001"
"M8300301","146318113001"
"M8300303","157502303001"
"M8300305","146322300014"
"M8300309","131510000032"
"M8300310","146322300014"
"M8300311","157724007002"
"M8300312","146318208001"
"M8300317","131515101001"
"M8300319","146321300001"
"M8300332","157502300020"
"M8300333","146322300014"
"M8300334","146318208001"
"M8300335","157508200003"
"M8300339","157502303001"
"M8300342","120534203001"
"M8300344","120321000008"
"M8300346","131707000014"
"M8300350","146318208001"
"M8300355","157511100019"
"M8300358","146318113001"
"M8300359","146318208001"
"M8300360","146334100061"
"M8300362","157502303002"
"M8300365","157502303001"
"M8300367","157502303001"
"M8300369","146321300001"
"M8300370","146320400007"
"M8300372","157508200003"
"M8300385","157502400007"
"M8300388","157502303001"
"M8300389","157716200005"
"M8300390","146322300014"
"M8500000","157511100019"
"M8500003","131510000032"
"M8500004","131515101001"
"M8500005","131515101001"
"M8500007","157502303001"
"M8500008","120534203001"
"M8500014","157502303001"
"M8500015","157502400007"
"M8500019","146318113001"
"M8500021","157502303002"
"M8500028","157502303001"
"M8500029","157502303001"
"M8500030","157511100019"
"M8500032","157508200003"
"M8500038","146318208001"
"M8500039","146318208001"
"M8500045","131726001001"
"M8500046","146318113001"
"M8500048","157502400007"
"M8500049","120534205001"
"M8500051","146113149001"
"M8500060","157502400007"
"M8500062","157502303001"
"M8500073","157502300020"
"M8500074","146318113001"
"M8500079","157502303001"
"M8500081","157502303002"
"M8500082","157502300020"
"M8500083","157502400007"
"M8500092","157511100019"
"M8500094","131515101001"
"M8500095","146318113001"
"M8500096","146318113001"
"M8500097","131515101001"
"M8500099","157502400007"
"M8500100","131515101001"
"M8500104","120534203001"
"M8500105","157511100019"
"M8500107","131515101001"
"M8500111","157502400007"
"M8500112","157502303002"
"M8500118","146318208001"
"M8500126","120534127002"
"M8600004","157502400007"
"M8600007","146321300001"
"M8600011","146321300001"
"M8600012","146321300001"
"M8600014","146322300014"
"M8600015","146321300001"
"M8600016","146320400007"
"M8600020","157502303001"
"M8600024","157502303001"
"M8600027","157502303001"
"M8600030","146321300001"
"M8600040","157511100019"
"M8600043","146318208001"
"M8600048","146321300001"
"M8600049","157502303001"
"M8600058","146320400007"
"M8600059","146318113001"
"M8600060","146318208001"
"M8600061","146318208001"
"M8600062","146318208001"
"M8600067","146322300014"
"M8600069","146320400007"
"M8600071","146320400007"
"M8600072","146320400007"
"M8600073","146321300001"
"M8600077","157502303001"
"M8600078","157502303001"
"M8600087","146318113001"
"M8600089","157502303001"
"M8600092","146329241001"
"M8600093","157502400007"
"M8600095","146318113001"
"M8600098","131515101001"
"M8600104","157502400007"
"M8600105","157502303001"
"M8600117","131515101001"
"M8600118","120534428001"
"M8600120","157508200003"
"M8600125","157502303001"
"M8600127","120305000022"
"M8600131","157502400007"
"M8600200","120534127002"
"M8600203","146321300001"
"M8600206","146334100061"
"M8600211","146329241001"
"M8600998","146322300014"
"M8603399","157508200003"
"M8603600","157502400007"
"M8603847","146113149001"
"M8603924","146322300014"
"M8604018","146318113001"
"M8604050","146321300001"
"M8604124","146318208001"
"M8604567","157502400007"
"M8604807","146321300001"
"M8604820","146329241001"
"M8604971","157716200005"
"M8604993","146113149001"
"M8605052","146322300014"
"M8605241","146318208001"
"M8605249","146320400007"
"M8605315","146318113001"
"M8605441","146322300014"
"M8605483","131515101001"
"M8605520","146318208001"
"M8605538","157721000024"
"M8605583","157721000024"
"M8605644","157721000024"
"M8605680","146322300014"
"M8605698","131515101001"
"M8605718","157511100019"
"M8605745","146329241002"
"M8605752","146320400007"
"M8605782","146322300014"
"M8605793","146318208001"
"M8605827","146318208001"
"M8605839","146322300014"
"M8605884","146318113001"
"M8605906","146318113001"
"M8605930","157502300020"
"M8605965","146320400007"
"M8605973","146318208001"
"M8606041","157716200005"
"M8606203","120534428001"
"M8606226","131515101001"
"M8608007","131519000021"
"M8608170","157502303001"
"M8608174","120534127002"
"M8608396","131515101001"
"M8647871","157508200003"
"M8700001","146322300014"
"M8700002","146321300001"
"M8700003","131509092001"
"M8700012","146322300014"
"M8700015","146322300014"
"M8700020","146320400007"
"M8700023","146318113001"
"M8700024","157502303001"
"M8700026","146318113001"
"M8700027","157502303001"
"M8700028","131509092001"
"M8700031","157502303001"
"M8700033","157511100019"
"M8700035","157502400007"
"M8700042","146318208001"
"M8700044","120534205001"
"M8700046","131510000032"
"M8700055","157502303002"
"M8700056","157502303001"
"M8700059","157502303001"
"M8700060","157502400007"
