rank,school,school_url,school_id,district,district_url,district_id,address,city,city_url,zip,county,phone,low_grade,high_grade,is_title_i,is_charter,is_magnet,is_virtual,number_students,number_full-time_teachers,student_teacher_ratio,pct_free/disc_lunch,pct_african_american,pct_american_indian,pct_asian,pct_hispanic,pct_pacific_islander,pct_two_or_more_races,pct_white,average_standard_score_(2020-21),average_standard_score_(2018-19),rank_(2018-19),rank_change_from_(2018-19),schooldigger_star_rating
41,Louisville Elementary School,https://www.schooldigger.com/go/CO/schools/0249000124/school.aspx,"""0249000124""",Boulder Valley School District No. Re2,https://www.schooldigger.com/go/CO/district/02490/search.aspx,"""02490""",400 Hutchinson Street,Louisville,https://www.schooldigger.com/go/CO/city/Louisville/search.aspx,80027,Boulder County,(720) 561-7200,KG,05,No,No,No,No,516,30.6,16.8,15.5,1,0,2.5,10.5,0.8,7,78.3,93.9,71.4,247,206,5
42,West Woods Elementary School,https://www.schooldigger.com/go/CO/schools/0480001549/school.aspx,"""0480001549""",Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,"""04800""",16650 West 72nd Avenue,Arvada,https://www.schooldigger.com/go/CO/city/Arvada/search.aspx,80007,Jefferson County,(303) 982-5649,KG,05,No,No,No,No,584,28.9,20.1,3.6,0.5,0.2,5.3,5.3,0,4.3,84.4,93.8,93.5,41,-1,5
43,Mesa Elementary School,https://www.schooldigger.com/go/CO/schools/0249000129/school.aspx,"""0249000129""",Boulder Valley School District No. Re2,https://www.schooldigger.com/go/CO/district/02490/search.aspx,"""02490""",1575 Lehigh Street,Boulder,https://www.schooldigger.com/go/CO/city/Boulder/search.aspx,80305,Boulder County,(720) 561-3000,KG,05,No,No,No,No,261,15.9,16.3,3.1,0,0.4,3.4,5.7,0,5.4,85.1,93.8,93.8,38,-5,5
44,Pinon Valley Elementary School,https://www.schooldigger.com/go/CO/schools/0294001535/school.aspx,"""0294001535""",Cheyenne Mountain School District No. 12,https://www.schooldigger.com/go/CO/district/02940/search.aspx,"""02940""",6205 Farthing Drive,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80906,El Paso County,(719) 527-0300,KG,06,No,No,No,No,315,22,14.3,7.6,2.5,0,3.2,17.1,0,9.2,67.9,93.7,79.7,169,125,5
45,Timber Trail Elementary School,https://www.schooldigger.com/go/CO/schools/0345001963/school.aspx,"""0345001963""",Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,"""03450""",690 West Castle Pines Parkway,Castle Rock,https://www.schooldigger.com/go/CO/city/Castle+Rock/search.aspx,80108,Douglas County,(303) 387-5700,PK,05,No,No,No,No,357,19.8,18,2,0.3,0,1.1,6.2,0,3.4,89.1,93.3,89.8,76,31,5
46,Broadmoor Elementary School,https://www.schooldigger.com/go/CO/schools/0294000212/school.aspx,"""0294000212""",Cheyenne Mountain School District No. 12,https://www.schooldigger.com/go/CO/district/02940/search.aspx,"""02940""",440 W Cheyenne Mountain Blvd,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80906,El Paso County,(719) 475-6130,KG,06,No,No,No,No,342,21.4,15.9,6.1,1.5,1.5,3.2,9.1,0.9,6.4,77.5,92.9,94,35,-11,5
47,Heritage Elementary School,https://www.schooldigger.com/go/CO/schools/0291000193/school.aspx,"""0291000193""",Cherry Creek School District No. 5,https://www.schooldigger.com/go/CO/district/02910/search.aspx,"""02910""",6867 East Heritage Place South,Centennial,https://www.schooldigger.com/go/CO/city/Centennial/search.aspx,80111,Arapahoe County,(720) 554-3500,PK,05,No,No,No,No,341,24.7,13.7,14.7,2.1,0,22.6,12.3,0.3,7.6,55.1,92.8,89,87,40,5
48,Challenge to Excellence Charter School,https://www.schooldigger.com/go/CO/schools/0345001874/school.aspx,"""0345001874""",Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,"""03450""",16995 East Carlson Drive,Parker,https://www.schooldigger.com/go/CO/city/Parker/search.aspx,80134,Douglas County,(303) 841-9816,KG,08,No,Yes,No,No,521,31.8,16.3,4.4,0.8,0.8,31.7,7.9,0,4.8,54.1,92.6,92.2,53,5,5
49,Swigert International School,https://www.schooldigger.com/go/CO/schools/0336006518/school.aspx,"""0336006518""",School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,"""03360""",3480 Syracuse Street,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80238,Denver County,(720) 424-4800,PK,05,No,No,No,No,587,33.4,17.5,9.2,4.4,0.7,4.1,13.1,0,6,71.7,92.5,93.6,40,-9,5
50,Prairie Winds Elementary School,https://www.schooldigger.com/go/CO/schools/0582001810/school.aspx,"""0582001810""",Lewis-Palmer Consolidated School District No. 38,https://www.schooldigger.com/go/CO/district/05820/search.aspx,"""05820""",790 King's Deer Point East,Monument,https://www.schooldigger.com/go/CO/city/Monument/search.aspx,80132,El Paso County,(719) 559-0800,PK,06,No,No,No,No,352,26.6,13.2,5.4,2.3,0,1.4,11.6,0,7.4,77.3,92.1,89.8,77,27,5
51,Red Rocks Elementary School,https://www.schooldigger.com/go/CO/schools/0480000778/school.aspx,"""0480000778""",Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,"""04800""",17199 Highway 74,Morrison,https://www.schooldigger.com/go/CO/city/Morrison/search.aspx,80465,Jefferson County,(303) 982-8063,PK,05,No,No,No,No,288,14.6,19.6,5.6,0,0.3,1.4,9,0,4.9,84.4,91.9,78.9,175,124,5
52,Paonia Elementary School,https://www.schooldigger.com/go/CO/schools/0333001337/school.aspx,"""0333001337""",Delta County Joint District No. 50,https://www.schooldigger.com/go/CO/district/03330/search.aspx,"""03330""",430 Box Elder,Paonia,https://www.schooldigger.com/go/CO/city/Paonia/search.aspx,81428,Delta County,(970) 527-3639,PK,06,Yes,No,No,No,213,8,26.4,55.9,1.4,0.5,0.5,14.1,0,3.3,80.3,91.8,82.6,137,85,5
53,Saddle Ranch Elementary School,https://www.schooldigger.com/go/CO/schools/0345001680/school.aspx,"""0345001680""",Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,"""03450""",805 West English Sparrow Trail,Highlands Ranch,https://www.schooldigger.com/go/CO/city/Highlands+Ranch/search.aspx,80129,Douglas County,(303) 387-6400,PK,06,No,No,No,No,434,26.4,16.4,4.4,0.9,0.2,3,10.4,0,4.8,80.6,91.7,78.1,180,127,5
54,Ray E Kilmer Elementary School,https://www.schooldigger.com/go/CO/schools/0582001489/school.aspx,"""0582001489""",Lewis-Palmer Consolidated School District No. 38,https://www.schooldigger.com/go/CO/district/05820/search.aspx,"""05820""",4285 Walker Rd,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80908,El Paso County,(719) 488-4740,PK,06,Yes,No,No,No,383,24.6,15.5,11.2,1,0.5,1.3,14.4,0,4.4,78.3,91.7,74.9,205,151,5
55,Lyons Elementary School,https://www.schooldigger.com/go/CO/schools/0537000911/school.aspx,"""0537000911""",St. Vrain Valley School District No. Re1J,https://www.schooldigger.com/go/CO/district/05370/search.aspx,"""05370""",338 High Street,Lyons,https://www.schooldigger.com/go/CO/city/Lyons/search.aspx,80540,Boulder County,(303) 823-6915,PK,05,No,No,No,No,312,18.3,16.9,14.1,0.3,0,0.6,7.4,0,2.6,89.1,91.6,91.6,58,3,5
56,Soda Creek Elementary School,https://www.schooldigger.com/go/CO/schools/0666001145/school.aspx,"""0666001145""",Steamboat Springs School District No. Re 2,https://www.schooldigger.com/go/CO/district/06660/search.aspx,"""06660""",220 Park Avenue,Steamboat Springs,https://www.schooldigger.com/go/CO/city/Steamboat+Springs/search.aspx,80487,Routt County,(970) 879-0652,KG,05,Yes,No,No,No,526,37,14.2,12.9,1.5,0.2,2.1,13.3,0.2,3.6,79.1,91.4,95.3,25,-31,5
57,Mitchell Elementary School,https://www.schooldigger.com/go/CO/schools/0480000757/school.aspx,"""0480000757""",Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,"""04800""",200 Rubey Drive,Golden,https://www.schooldigger.com/go/CO/city/Golden/search.aspx,80403,Jefferson County,(303) 982-5874,KG,05,No,No,No,No,570,29.2,19.5,6.7,0.4,0.2,1.9,5.6,0,4.2,87.7,91.1,89.3,82,25,5
58,Steck Elementary School,https://www.schooldigger.com/go/CO/schools/0336000410/school.aspx,"""0336000410""",School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,"""03360""",450 Albion Street,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80220,Denver County,(720) 424-3870,PK,05,No,No,No,No,352,20.8,16.8,14.2,4,0.3,3.7,14.5,0,8.2,69.3,90.8,96.5,19,-39,5
